Name;Platform;Genre;Global_Sales;User_Score;User_Count;Rating;;
Cooking Mama;DS;Simulation;5.63;7.2;21;E;;
Tetris;NES;Puzzle;5.58;;;;;
Super Smash Bros.;N64;Fighting;5.55;;;;;
Assassin's Creed II;PS3;Action;5.55;8.6;1202;M;;
Assassin's Creed;X360;Adventure;5.54;7.7;1074;M;;
Forza Motorsport 3;X360;Racing;5.49;8;516;E;;
Super Mario Advance;GBA;Platform;5.49;7.8;41;E;;
Monster Hunter Freedom Unite;PSP;Role-Playing;5.48;8.7;124;T;;
Batman: Arkham City;PS3;Action;5.48;8.6;2162;T;;
Grand Theft Auto V;XOne;Action;5.48;7.9;764;M;;
Mario Kart: Super Circuit;GBA;Racing;5.47;8.3;108;E;;
Super Mario World;GBA;Platform;5.46;;;;;
Pokemon Stadium;N64;Strategy;5.45;;;;;
Crash Bandicoot: The Wrath of Cortex;PS2;Platform;5.42;7.1;156;E;;
Call of Duty: World at War;PS3;Shooter;5.39;7.6;409;M;;
Uncharted 4: A Thief's End;PS4;Shooter;5.38;7.9;7064;T;;
Dr. Mario;GB;Puzzle;5.34;;;;;
Final Fantasy XIII;PS3;Role-Playing;5.33;7.3;2483;T;;
Pokemon Pinball;GB;Misc;5.31;;;;;
Final Fantasy IX;PS;Role-Playing;5.3;8.9;779;T;;
Assassin's Creed III;X360;Action;5.29;6.7;1196;M;;
Final Fantasy X-2;PS2;Role-Playing;5.29;6.6;400;T;;
Donkey Kong 64;N64;Platform;5.27;;;;;
Call of Duty: Advanced Warfare;XOne;Shooter;5.27;5.4;898;M;;
Minecraft;PS3;Misc;5.26;;;;;
Assassin's Creed II;X360;Action;5.26;8.8;1305;M;;
Tomb Raider II;PS;Action;5.24;;;T;;
Madden NFL 2004;PS2;Sports;5.23;8.5;140;E;;
Tomodachi Life;3DS;Simulation;5.23;;;;;
New Super Mario Bros. U;WiiU;Platform;5.22;8.1;733;E;;
Dragon Quest VIII: Journey of the Cursed King;PS2;Role-Playing;5.21;8.8;245;T;;
Super Mario Bros. 3;GBA;Platform;5.2;;;;;
Professor Layton and the Curious Village;DS;Puzzle;5.19;8.6;147;E;;
Super Mario Land 3: Wario Land;GB;Platform;5.19;;;;;
FIFA Soccer 13;X360;Action;5.16;6.1;403;E;;
Donkey Kong Country 2: Diddy's Kong Quest;SNES;Platform;5.15;;;;;
Diablo III;PC;Role-Playing;5.14;4;9629;M;;
Medal of Honor: Rising Sun;PS2;Shooter;5.13;7.6;100;T;;
Kirby's Dream Land;GB;Platform;5.13;;;;;
Microsoft Flight Simulator;PC;Simulation;5.12;;;;;
Guitar Hero II;PS2;Misc;5.12;8.5;112;T;;
Fable III;X360;Role-Playing;5.1;6.5;604;M;;
Mario & Sonic at the Olympic Games;DS;Sports;5.09;;;;;
Resident Evil 5;PS3;Action;5.09;7.5;667;M;;
The Legend of Zelda: Phantom Hourglass;DS;Action;5.08;8;416;E;;
Super Mario Bros.;GB;Platform;5.07;;;;;
FIFA Soccer 11;PS3;Sports;5.07;8;233;E;;
Resident Evil;PS;Action;5.05;9;266;M;;
Grand Theft Auto: Vice City Stories;PSP;Action;5.03;8;150;M;;
Tony Hawk's Pro Skater;PS;Sports;5.02;9.2;69;T;;
Warzone 2100;PS;Strategy;5.01;;;;;
Spyro the Dragon;PS;Platform;5;;;;;
Guitar Hero III: Legends of Rock;PS2;Misc;4.98;8.2;46;T;;
Link's Crossbow Training;Wii;Shooter;4.98;7.1;47;T;;
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;DS;Role-Playing;4.93;;;;;
Fallout 3;X360;Role-Playing;4.93;8.5;1655;M;;
Uncharted: Drake's Fortune;PS3;Action;4.92;8.1;2306;T;;
Madden NFL 06;PS2;Sports;4.91;8;121;E;;
Diddy Kong Racing;N64;Racing;4.88;;;;;
Monster Hunter Freedom 3;PSP;Role-Playing;4.87;;;;;
Super Smash Bros. for Wii U and 3DS;WiiU;Fighting;4.87;;;;;
Dr. Mario;NES;Puzzle;4.85;;;;;
StarCraft II: Wings of Liberty;PC;Strategy;4.84;8.2;3052;T;;
Assassin's Creed;PS3;Adventure;4.82;7.3;769;M;;
God of War III;PS3;Action;4.8;8.7;2633;M;;
Crash Team Racing;PS;Racing;4.79;9;233;E;;
LEGO Star Wars: The Complete Saga;DS;Action;4.76;5.4;46;E;;
Driver 2;PS;Action;4.73;7.7;92;T;;
Batman: Arkham City;X360;Action;4.73;8.7;1472;T;;
The Last of Us;PS4;Action;4.71;;;;;
The Simpsons: Hit & Run;PS2;Racing;4.7;;;;;
Tony Hawk's Pro Skater 2;PS;Sports;4.68;7.7;299;T;;
The Lord of the Rings: The Two Towers;PS2;Action;4.67;8.2;78;T;;
Tomb Raider;PS;Action;4.63;8.6;147;T;;
Animal Crossing: City Folk;Wii;Simulation;4.62;7.6;119;E;;
Uncharted: The Nathan Drake Collection;PS4;Action;4.62;8.1;1264;T;;
The Legend of Zelda: A Link to the Past;SNES;Action;4.61;;;;;
The Legend of Zelda: The Wind Waker;GC;Action;4.6;8.9;968;E;;
Guitar Hero III: Legends of Rock;Wii;Misc;4.6;8.4;87;T;;
Luigi's Mansion: Dark Moon;3DS;Action;4.59;8.4;458;E;;
Forza Motorsport 4;X360;Racing;4.57;8.2;617;E;;
Mario & Sonic at the Olympic Winter Games;Wii;Sports;4.53;;;;;
Madden NFL 2005;PS2;Sports;4.53;7.9;78;E;;
Guitar Hero III: Legends of Rock;X360;Misc;4.53;7.9;165;T;;
Pitfall!;2600;Platform;4.5;;;;;
Madden NFL 07;PS2;Sports;4.49;8.2;39;E;;
Halo 5: Guardians;XOne;Shooter;4.48;6.4;2438;T;;
Spider-Man: The Movie;PS2;Action;4.48;7.9;41;E;;
Dragon Quest VII: Warriors of Eden;PS;Role-Playing;4.47;;;;;
Call of Duty: Infinite Warfare;PS4;Shooter;4.46;3.4;1129;M;;
God of War;PS2;Action;4.45;8.9;997;M;;
Splatoon;WiiU;Shooter;4.43;8.5;1184;E10+;;
Nintendo Land;WiiU;Misc;4.42;7.9;471;E10+;;
Tony Hawk's Pro Skater 3;PS2;Sports;4.41;7.5;298;T;;
Winning Eleven: Pro Evolution Soccer 2007;PS2;Sports;4.39;8.9;33;E;;
The Elder Scrolls IV: Oblivion;X360;Role-Playing;4.38;8.7;1109;M;;
Zelda II: The Adventure of Link;NES;Adventure;4.38;;;;;
Need for Speed: Most Wanted;PS2;Racing;4.37;9.1;137;T;;
Michael Jackson: The Experience;Wii;Misc;4.36;8.3;31;E10+;;
Call of Duty: Advanced Warfare;PS3;Shooter;4.36;4.8;207;M;;
Resistance: Fall of Man;PS3;Shooter;4.34;8.1;715;M;;
Sonic the Hedgehog;GEN;Platform;4.34;;;;;
Kingdom Hearts II;PS2;Role-Playing;4.33;9;766;E10+;;
The Legend of Zelda: Ocarina of Time;3DS;Action;4.33;;;;;
Super Mario 3D World;WiiU;Platform;4.32;9;1607;E;;
Minecraft;PS4;Misc;4.32;;;;;
Asteroids;2600;Shooter;4.31;;;;;
Call of Duty: Advanced Warfare;X360;Shooter;4.29;4.9;221;M;;
FIFA 15;PS3;Sports;4.28;4.5;109;E;;
Fable II;X360;Role-Playing;4.27;6.5;2423;M;;
Namco Museum;GBA;Misc;4.24;7.3;6;E;;
Batman: Arkham Asylum;PS3;Action;4.23;8.9;1122;T;;
Metal Gear Solid 3: Snake Eater;PS2;Action;4.23;9.3;955;M;;
Assassin's Creed: Revelations;PS3;Action;4.22;7.5;613;M;;
Fallout 4;XOne;Role-Playing;4.22;6.2;1749;M;;
FIFA 14;X360;Sports;4.22;4.2;435;E;;
Daxter;PSP;Platform;4.21;8.7;109;E10+;;
Warcraft II: Tides of Darkness;PC;Strategy;4.21;;;;;
FIFA Soccer 06;PS2;Sports;4.21;7.8;47;E;;
EyeToy Play;PS2;Misc;4.2;7.5;22;E;;
Gran Turismo 5 Prologue;PS3;Racing;4.19;7.1;120;E;;
Assassin's Creed: Revelations;X360;Action;4.19;7.2;564;M;;
FIFA 12;X360;Sports;4.18;;;;;
Teenage Mutant Ninja Turtles;NES;Action;4.17;;;;;
Street Fighter IV;PS3;Fighting;4.16;7.3;330;T;;
Excitebike;NES;Racing;4.16;;;;;
Frogger;PS;Action;4.16;;;;;
Madden NFL 2003;PS2;Sports;4.14;7.7;65;E;;
Half-Life;PC;Shooter;4.12;9.1;3161;M;;
Super Mario World 2: Yoshi's Island;SNES;Platform;4.12;;;;;
FIFA Soccer 07;PS2;Sports;4.11;;;;;
Street Fighter II Turbo;SNES;Fighting;4.1;;;;;
World of Warcraft: The Burning Crusade;PC;Role-Playing;4.09;7.9;785;T;;
Battlefield 1;PS4;Shooter;4.08;8.4;809;M;;
God of War II;PS2;Action;4.07;8.9;709;M;;
World Soccer Winning Eleven 9;PS2;Sports;4.06;8.2;23;E;;
Fallout: New Vegas;X360;Role-Playing;4.05;8.1;769;M;;
Forza Motorsport 2;X360;Racing;4.05;8.3;381;E;;
Carnival Games;Wii;Misc;4.05;6;44;E;;
Watch Dogs;PS4;Action;4.05;6.3;2996;M;;
Namco Museum Vol.3;PS;Misc;4.05;;;;;
Tekken Tag Tournament;PS2;Fighting;4.05;8.5;117;T;;
Far Cry 4;PS4;Shooter;4.04;7.7;1653;M;;
Star Fox 64;N64;Shooter;4.03;;;;;
Golf;NES;Sports;4.01;;;;;
Namco Museum: 50th Anniversary;PS2;Misc;3.98;tbd;;E10+;;
Left 4 Dead 2;X360;Shooter;3.97;8.6;681;M;;
The Witcher 3: Wild Hunt;PS4;Role-Playing;3.97;9.2;10179;M;;
Assassin's Creed: Unity;PS4;Action;3.96;4.9;2050;M;;
Batman: Arkham Knight;PS4;Action;3.95;7.6;2679;M;;
The Legend of Zelda: Skyward Sword;Wii;Action;3.95;8;1958;E10+;;
Fallout 3;PS3;Role-Playing;3.94;8;910;M;;
Professor Layton and the Diabolical Box;DS;Puzzle;3.94;8.8;72;E10+;;
Donkey Kong Land;GB;Platform;3.91;;;;;
EA Sports Active;Wii;Sports;3.9;8.7;39;E;;
Tony Hawk's Underground;PS2;Sports;3.9;8.7;121;T;;
Monster Hunter 4 Ultimate;3DS;Role-Playing;3.89;8.7;348;T;;
The Elder Scrolls V: Skyrim;PC;Role-Playing;3.88;8.1;9073;M;;
NBA 2K16;PS4;Sports;3.88;6.7;364;E10+;;
Tekken 5;PS2;Fighting;3.87;8.6;229;T;;
Dragon Warrior III;NES;Role-Playing;3.87;;;;;
MotorStorm;PS3;Racing;3.87;7.4;220;T;;
Nintendogs + cats;3DS;Simulation;3.85;;;;;
World Soccer Winning Eleven 8 International;PS2;Sports;3.85;9.1;38;E;;
Sports Champions;PS3;Sports;3.84;7.9;104;E10+;;
Namco Museum Vol.1;PS;Misc;3.84;;;;;
The Legend of Zelda: Link's Awakening;GB;Action;3.83;;;;;
Call of Duty: Ghosts;PS4;Shooter;3.83;3.7;1564;M;;
Flash Focus: Vision Training in Minutes a Day;DS;Misc;3.83;4;4;E;;
Tom Clancy's The Division;PS4;Shooter;3.8;7;2219;M;;
Big Brain Academy: Wii Degree;Wii;Misc;3.79;6.9;39;E;;
Resident Evil Director's Cut;PS;Action;3.77;;;;;
Mario & Luigi: Bowser's Inside Story;DS;Role-Playing;3.77;;;;;
LEGO Indiana Jones: The Original Adventures;X360;Action;3.76;7.5;66;E10+;;
The Sims: Unleashed;PC;Simulation;3.76;8;29;T;;
Ratchet & Clank: Size Matters;PSP;Platform;3.74;;;;;
Harry Potter and the Sorcerer's Stone;PS;Action;3.73;7.5;41;E;;
Mario & Sonic at the London 2012 Olympic Games;Wii;Sports;3.72;;;;;
Resident Evil 3: Nemesis;PS;Action;3.72;;;;;
Super Paper Mario;Wii;Platform;3.71;7.9;417;E;;
Spyro: Year of the Dragon;PS;Platform;3.71;8.8;207;E;;
Assassin's Creed IV: Black Flag;PS3;Action;3.71;8.1;840;M;;
FIFA Soccer 2005;PS2;Sports;3.7;7.6;56;E;;
Pokémon Trading Card Game;GB;Strategy;3.7;;;;;
Friend Collection;DS;Misc;3.67;;;;;
Tony Hawk's Pro Skater 4;PS2;Sports;3.67;8.5;128;T;;
Star Wars Battlefront (2015);XOne;Shooter;3.66;;;;;
MySims;DS;Simulation;3.66;7.3;13;E;;
Midnight Club 3: DUB Edition;PSP;Racing;3.65;8.4;31;E10+;;
Banjo-Kazooie;N64;Platform;3.65;;;;;
SOCOM: U.S. Navy SEALs;PS2;Shooter;3.65;7.9;82;M;;
Jak and Daxter: The Precursor Legacy;PS2;Platform;3.64;8.7;312;E;;
Pokemon Snap;N64;Simulation;3.63;;;;;
Pro Evolution Soccer 2008;PS2;Sports;3.63;7.9;38;E;;
Resident Evil 4;PS2;Action;3.62;8.9;1013;M;;
Guitar Hero: World Tour;Wii;Misc;3.62;7.6;71;T;;
FIFA Soccer 10;PS3;Sports;3.62;7.6;203;E;;
Star Wars: Battlefront;PS2;Shooter;3.61;8.7;142;T;;
Doom II: Hell on Earth;PC;Shooter;3.61;;;;;
The Simpsons: Road Rage;PS2;Racing;3.61;7.7;32;T;;
Luigi's Mansion;GC;Action;3.6;8.5;161;E;;
Battlefield 4;PS4;Shooter;3.59;6.9;1580;M;;
Star Wars: Battlefront II;PS2;Shooter;3.59;9;268;T;;
Just Dance 2014;Wii;Misc;3.59;6.2;10;E10+;;
Cooking Mama 2: Dinner With Friends;DS;Simulation;3.58;8;9;E;;
WWF SmackDown!;PS;Fighting;3.58;;;;;
Croc: Legend of the Gobbos;PS;Platform;3.56;;;;;
Grand Theft Auto: Liberty City Stories;PS2;Action;3.54;7.8;112;M;;
The Getaway;PS2;Action;3.54;6.8;88;M;;
Tomb Raider III: Adventures of Lara Croft;PS;Action;3.54;;;;;
James Bond 007: Agent Under Fire;PS2;Shooter;3.53;7.9;48;T;;
LEGO Star Wars: The Video Game;PS2;Action;3.53;;;;;
Rugrats in Paris: The Movie;PS;Action;3.52;;;;;
FIFA Soccer 11;X360;Sports;3.52;7.5;155;E;;
Spyro 2: Ripto's Rage!;PS;Platform;3.52;;;;;
Left 4 Dead;X360;Shooter;3.51;7.9;1309;M;;
Donkey Kong Country 3: Dixie Kong's Double Trouble!;SNES;Platform;3.51;;;;;
Assassin's Creed: Unity;XOne;Action;3.5;4.1;1005;M;;
Kung Fu;NES;Action;3.5;;;;;
Resident Evil 5;X360;Action;3.5;7.5;523;M;;
Assassin's Creed: Brotherhood;X360;Action;3.49;8.3;693;M;;
FIFA Soccer 2004;PS2;Sports;3.49;6.4;76;E;;
Battlefield 4;PS3;Shooter;3.49;5.8;579;M;;
Batman: Arkham Asylum;X360;Action;3.48;8.7;1080;T;;
Battlefield 4;X360;Shooter;3.48;5.6;542;M;;
Battlefield: Bad Company 2;X360;Shooter;3.47;8.6;869;M;;
Mario & Sonic at the Olympic Winter Games;DS;Sports;3.46;;;;;
Guitar Hero: On Tour;DS;Misc;3.46;8.8;29;E10+;;
Clubhouse Games;DS;Misc;3.45;8.4;28;E;;
Monster Hunter 4;3DS;Role-Playing;3.44;;;;;
Borderlands;X360;Shooter;3.44;8.2;715;M;;
Tekken 4;PS2;Fighting;3.44;8.3;126;T;;
Final Fantasy III;SNES;Role-Playing;3.42;;;;;
Grand Theft Auto 2;PS;Action;3.42;8;67;T;;
Metal Gear Solid V: The Phantom Pain;PS4;Action;3.41;8.2;3943;M;;
Spider-Man 2;PS2;Action;3.41;8.9;106;T;;
F-1 Race;GB;Racing;3.41;;;;;
FIFA Soccer 2003;PS2;Sports;3.4;6.7;35;E;;
LittleBigPlanet 2;PS3;Platform;3.39;8.4;657;E;;
Crash Bash;PS;Misc;3.39;8.2;99;E;;
Assassin's Creed Syndicate;PS4;Action;3.39;6.8;1319;M;;
LEGO Batman: The Videogame;X360;Action;3.38;7.9;75;E10+;;
Destiny;XOne;Shooter;3.37;5.5;1735;T;;
WWF War Zone;PS;Fighting;3.36;;;;;
The Legend of Zelda: Majora's Mask;N64;Action;3.36;;;;;
Far Cry 3;PS3;Shooter;3.35;8.5;1041;M;;
Rugrats: Search For Reptar;PS;Adventure;3.34;;;;;
English Training: Have Fun Improving Your Skills!;DS;Misc;3.33;;;;;
James Bond 007: Nightfire;PS2;Shooter;3.33;8.5;66;T;;
Ratchet & Clank;PS2;Platform;3.33;;;;;
Monster Hunter X;3DS;Action;3.32;;;;;
Star Wars Episode III: Revenge of the Sith;PS2;Action;3.32;7.2;82;T;;
The Legend of Zelda: Spirit Tracks;DS;Action;3.31;7.8;228;E10+;;
Max Payne;PS2;Shooter;3.31;8.5;86;M;;
Assassin's Creed IV: Black Flag;X360;Action;3.3;7.9;701;M;;
The Lord of the Rings: The Return of the King;PS2;Action;3.28;8.7;105;T;;
Yokai Watch 2 Ganso/Honke;3DS;Role-Playing;3.28;;;;;
Gears of War: Ultimate Edition;XOne;Shooter;3.28;7.5;563;M;;
True Crime: Streets of LA;PS2;Action;3.27;8;94;M;;
Professor Layton and the Unwound Future;DS;Puzzle;3.26;9.2;111;E10+;;
Gran Turismo (PSP);PSP;Racing;3.25;;;;;
FIFA 16;XOne;Sports;3.25;4.4;459;E;;
Wii Music;Wii;Misc;3.25;4.6;116;E;;
Tekken;PS;Fighting;3.24;;;;;
Madden NFL 16;PS4;Sports;3.24;5.9;180;E;;
Gran Turismo 6;PS3;Racing;3.23;7.7;758;E;;
Halo: The Master Chief Collection;XOne;Shooter;3.23;7.2;1267;M;;
007: Tomorrow Never Dies;PS;Shooter;3.21;;;;;
