id;review;type_review;language;score
Glemial;When i started this game i was really expecting one of the best games of all time, because of all the praise this game gets. I am really disappointed.,The Story is ordinary, a world that has be taken by a fungus, and the citizens become zombies. Them we have a few that survived and now is fighting for their lives. We have so many game with similar story.,The characters has a good development, and this is the reason i give 4 to this game,The IA is so stupid that broke the immersion of the game. Seeing Elie walking in the front of a enemy and none of they reacting at all is ridiculous. If the game has stupid zombies it's fine, but people beeing so stupid as zombies really broke the game.,The Stealth is awful, as you throw a bottle near the enemy and has no reaction, but sometimes you throw and a guy from the otherside of the map comes to see what's happening, totally bad maded.,The combat is bad either, with really simplistic movements, and repetitive.,(SPOILER ALERT),The game ending is what i was hoping to be the savior of the game, but unfortunately wasn't.,Seeing joel rushing to a hospital full of fireflies, and killing all of then like he was Rambo, is laughable. The worse is that he alone kill practically a army and saves Ellie in the end of it. The story would be so more impacting if Ellie died to save the world. They could have shown it a few years later, the world rising up after healing came, showing Joel rising emotionally in a healed world. They could even make a new game showing this, but not, unfortunately.;normal;English;4
Berkekarabay;It was awesome. Graphics were great, gameplay was quite good. Story was amazing;expanded;English;9
Differento4x;Not good honestly i played it 4 years ago and i prefer play some game not TLOU2;expanded;English;0
cedanillo;My childhood game, absolutely amazing game. Just finished like for the 5th time about two days ago xD.;expanded;English;10
sdaneu;The first ps4 game I played. Great story, gameplay and visual effects. What makes me more impressed, was the characters.;expanded;English;10
DavidHofman;Love this amazing game. Perfect history, music and gameplay. Masterpiece!!!;expanded;English;10
agapokolo;This game is great. It's main quality is it's story. Until 2013, there had never been a game with such relatable and interesting characters. i never got bored of any of Joel and Ellie's conversations. The only flaw, for me, was the gameplay, which got very repetitive at a certain point.;expanded;English;9
TagMeisteR;A brilliant and ground-breaking Game that set the standard for linear cinematic story-driven games. Everything about this Game, besides some visual details and animations, has held up wonderfully. The Game is still 100% worth playing nearly a decade later, and should be played by anyone remotely into videogames.;expanded;English;10
cylun;One of the best games of recent times. It has everything you can ask for - plain and simple.;expanded;English;10
TheDazPaz;A brillaint remaster for a brillaint game. Nothing to say about this game that hasn't already been said, just play it.;expanded;English;9
xilef2007;The game is one of my favourite games, the story 10/10, gameplay 9/10, soundtrack 10/10, characters 10/10, world 10/10, atmosphere 10/10.,Wow I don‘t know what to say. I can‘t describe the game in words you need to play that yourself to see how good this game is.,Hours played: 45,Sorry for my bad English.;expanded;English;9
Statutory;It is a good game. It aged very very well. A very beautiful game from 2013/14. Good solid narrative, great score.;expanded;English;8
Czuwajek;Must have for all ps4 owners.  A touching story that is incredibly addictive;expanded;English;10
svensenk86;the beginning of something great, something special. Just played it again after a several years on the PS5 now after I finished TLOU2...damn and this game is still competitive with actual games. Graphic, gameplay is awesome still, about the story we don`t have to talk - simply amazing in writing, acting and making it real. This is a must play, this is art in gaming.;expanded;English;10
scare99;The last of us is a masterpiece. You get so attached to the characters, emotionally. The world design is very pretty as well. Naughty dogs attention to detail is outstanding, please play this game, you will not regret a thing.;expanded;English;10
MartinAZ;One of the best games I've ever played! Neil Druckmann makes one hell of a master piece!,,I've beaten this game well over 20 times and still managed to pick up or notice how things unfolded by simply looking at how the scene is constructed for the player. The amazing detail in every step is simply breath taking!,,If you're interested. pick this game up and get tied into the ride of your life! Go into this game knowing a little as possible and come out a survivor. The last of us gets my 1st ever 10 our of 10. Joel and Ellie steal the show!;normal;English;10
princey2001;the last of us is one of the greatest ever made its story, characters, game play, atmosphere is unlike any game ever made. the characters of Joel and Ellie start the next level of characters portrayed as real people the most of any game i have ever seen. Its like almost watching real people in a video game [graphics still hold up pretty well] . this game changed how most developers create stories and characters and is an absolute masterpiece and will always be one of the greatest i will ever play. SCORE 98/100;normal;English;10
Rydberg98;Nice Game with a well written story. Despite having a few flaws the overall message and likability of the characters deserves a high rating. The Graphics are top notch. The levels are often tubular, so there is only one way to go. A more open design couldn't have hurt. The Gameplay is fun and I was not bored even after 20 hours. I would recommend also playing the DLC, because it adds a nice side story;normal;English;9
Ex-TLOU-Fan;Perfect game... Unfortunately spoiled with a disastrous sequel for political influence.;expanded;English;9
Isainepto;What makes this game a masterpiece is that its not based on a narrative focused on the impact of the journey, its based on the characters. You get to know them through dialogue and even through optional dialogue, and because of that when the story progresses, they evolve, and when they make choices, they are well argued in order to make sense to the great narrative this game has. The game-play is good enough for a game based on narrative, and it makes a good balance between both of them.;normal;English;10
Obi-Jones;The best game on PS3 now becomes the best game on PS4, with the exception of the second game which is the best game of all time.;expanded;English;10
BenSan;"This is the umpteenth time (eighth time) I play this game and I love it, the graphic, the music, the story... its true tha the gameplay has not aged well but it's still fun. This is the great game of directors Druckman and Bruce... when Naughty Dog werent cotrolled by Neil Druckman and his ""secret agenda"" (put politics over story and characters).,,Esta es la enésima vez (octava) que juego a este juego y me encanta, los gráficos, la música, la historia ... es cierto que el gameplay no ha envejecido bien, pero sigue siendo divertido. Este es el gran juego de los directores Druckman y Bruce ... cuando Naughty Dog no estaba controlado por Neil Druckman y su ""agenda secreta"" (poner la política sobre la historia y los personajes).";normal;English;9
psmoon21;This game is remembered above all for its story, but it is very poorly told, with poor phrases and predictable enough,,the game in its missions is repetitive, slow, rough and even graphically it is not the most incredible of ps3 or ps4.,,The remastered for ps4 is very poor, it still has graphics that are not bad but it is as top as they say,,It has some issues like stupid i.a, bugs, audio issues, and a b.s.o. very discreet.,,a game with those problems that are totally objective,It cannot be considered in any case a good game, much less goty or game of the generation. Only the interested press and fanatic players do not want to see reality,,it is one of the most overrated games in history if it is not the first;normal;English;0
SpookyBoogie8;Amazing story, memorable music and super fun game-play makes this a must play title. I never thought there would be a perfect game that deserves an honest 10, but this is it.;expanded;English;10
oisinf2006;when i first got this game, it was off ps plus and i was just thinking oh i might as well just give it a go. this is a masterpiece there is parts when you really get sad with what happens and you really feel for the characters. from beginning to end this game is outstanding and will always be one of the most amazing games of all time. easily in my top 5 favourite games of all time and if you have $20 you can pick it up and i feel like this is an amazing price for such a replayable game.;normal;English;10
ilifzl;Best game ever.the story,graphic,gamplay and soundtrack they all are perfect;expanded;English;10
NRG_SNIP;Muy buen juego lo recomiendo sin duda.hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh;expanded;English;9
Kin0ma;Great game! The best game of the generation. Such games probably will no longer have Naughty Dog.;expanded;English;10
Arya977;Gameplay..............Amazing,Graphics................Amazing,Story.......................Amazing,Score.....................Great;expanded;English;9
Danielino;Best game ever, really. Fantastic storyline, playing this game was like being in a movie.;expanded;English;10
Sean-M;Great game. A rich story with interesting gameplay and fantastic characters and voice acting.;expanded;English;10
Olegh_17;One of the best games,Naughty dog-one of the best companies they gave us Crash bandicoot,Uncharted and The last is us;expanded;English;10
PrinceNBD;The greatest Playstation game of all time, hands down. Game of the Year, Game of the Generation and Game of the Decade. These are a few of the countless honors it got. Obviously I can't list every accolade this game won because it would be a daunting task to mention 200 awards in a single review. That's right, this masterpiece of a game won over 200 awards and it deserved every last one of them. I can't sing any more praises about this game that already haven't been sung before.,If you own a PlayStation console (PS3/PS4/PS5) and you still haven't played this game, then I don't know what to say to you except, maybe you should think about selling your console. Because in a way, you're wasting your money by not utilizing your investment. This is literally the first game you should be playing after buying a PS console.,The Last of Us is the crown jewel of the gaming world. It is literally the best game ever made by Playstation and one of the greatest games of all time.;normal;English;10
Ledikari;A masterpiece! A Roller coaster ride of emotions. Love the pacing of the story;expanded;English;10
yunuscan;I played in 2020 and nothing bothered me. Eveything is great . You should definitely play it can change your life.;expanded;English;10
NorwayGamer;Another garbage title from one of the worst devs out there: Naughty Dog.,,This developer apparently loves excessive violence, foul language and blasphemy. And for this I will throw my copy in the garbage instead of reselling it, as I don't want to contribute to anyone else playing this trash.,How good the gameplay and graphics are is completely irrelevant, when the game is all about foul language.;normal;English;1
Manziflex;The gameplay is truly innovative and is definitely the highlight of this game. Punching zombies is priceless. Beautiful story. The graphics, although remastered, are not exactly the best. The environment looks like just a bunch of polygons with some texture. you see the retouching but could have been done better;expanded;English;9
DiGol;"I passed the game two days ago. And 6 years later, she looks amazing.,No game, no movie, no TV series has ever caused me such emotions. The most I could do after watching my favorite TV series was to be a little sad.,After passing this game, I walked around all day with a strong sense of loss and despair, and at the end I began to cry. Tears just poured out of me in liters. And it because the game is so beautiful, I got so attached to the characters that I didn't want it to end, I couldn't believe it was over.,I passed it for 3 days.,After I played the first day I couldn't help but think about her, I wanted to go in and play again. I couldn't consume any content, like on Youtube, Instagram, or TikTok. It all seemed somehow empty. Between times when I played, I was accompanied by an incomprehensible feeling of despair.,It is very exciting to pass the game on stealth: sneak up and kill enemies with a knife, strangle them or kill them with a bow.,How could Naughty Dog make such a masterpiece in 2013? My mistake was that I passed the game at a medium level of difficulty, if you have not already passed it, then do it only at a high level or higher. Enjoy this masterpiece longer. I only played 15: 03: 49 hours.,Most of all, I liked playing for Ellie in the winter. Especially in the ""Left Behind"".,How I envy the people who haven't passed it yet.,It opened the life cycle of the PlayStation 4 and set the trend in games for the next years, and The Last of Us: Part 2 closed it.,Very emotional game with great gameplay.";normal;English;10
Tariq610;One of the best games I have played for sure, you really get attached to the story and characters. The gaming mechanics is super cool especially the combat.;expanded;English;10
Dyn4mic;I left pc gaming in 2015 and hadn't owned a console since at least 2013. It was time to focus on work, family and just grow up. I'd wasted hundreds if not thousands of hours gaming and thought that was it for me. After reading lots of reviews and buckling to the hype I decided to get a PS4 just for The Last Of Us and have never regretted this decision.,The Last Of Us (TLOU) is more than a game, it would be fine to sit there and watch the entirety of the game as a cinematic. The story builds the characters, you learn to feel their pain, joy, and relied along the way. I didn't think a game would affect me so much, there are key scenes which really hit home hard. I've never experienced a game of this storytelling prowess and I almost hope not to again as I want to cherish this story. The music stuck in my head for days, weeks and even months. I wanted to learn the guitar just so I could reproduce the songs. Tell me what games have had this effect in you? I doubt many if any. The voice acting was solid and really helped suck you into the story, I think this was crucial to believing the story.,The gameplay worked for me and I really enjoyed the options of running and gunning or stealth.  The difficulty settings allow you to actually play through how you want, finishing it in normal before progressing to survivor was real fun.,I have always been a player who likes to emerse themselves psychologically into a game and have felt great connection to characters before, but TLOU was different. I didn't necessarily relate to Joel or Ellie but I did want them to succeed and to fight with them. I finished TLOU on survivor mode in 2019 and feel that survivor mode makes it feel less like a game and more real world. Do yourself a favour and finish TLOU as you will hopefully get to experience what I believe to be the most complete story any game to date has to offer.;normal;English;10
X_demo;The best game ever made...............I think..............................................;expanded;English;10
piff2000;The Last of Us is a testament to how a video game can elevate an otherwise fairly average story. Joel and Ellie and their relationship are the heart of this game and allow it to be more than just another zombie cover shooter. It’s a must play for any PlayStation owner.;expanded;English;10
PIXELMAS2ER;Great game proves that 7 yr old games are great loved the story joel is cool ellie is you could say funny and badass but joel is more badass i played the remaster on the ps4 slim and its SOOOO SMOOTH loved it must buy alonside uncharted 4 a theifs end;expanded;English;10
Leu4Life;Bit too scary for me but nonetheless, absolute masterpiece. Can easily see how much passion they've put into it.;expanded;English;10
Emsi14;I can't think about any audiovisual piece that got me at the emotional place that this gamer does. Is amazing, the characters are amazingly written, everything that happens is so human, and you can feel everything that the characters feels, The story is so simple, that it makes it so personal and so unique. The gameplay is very good considering it's not the most complex ever.,After playing this game 5 times, i can't think of a better game i've played, every time i play it, the ending got me almost crying, something that no movie, serie or anything to be honest did.;normal;English;10
keredd1010;"This film is a testament to how if you have really good writing in a game then other aspects of the game can slack, namely in this example, the game play. TLOU has an excellently fleshed out narrative with wonderful character development. There is no denying that. The game play is quite mediocre and I had to put it on hard setting the very first time I played it to avoid boredom. It's just very mechanical and not very inventive and lacks variety quite a bit. I think ND's A Thief's End did a much better job in this so I know they are capable of it. It's funny how people get swept up emotionally in the story to such an extent that they label the game ""Greatest Game Ever! (sniffle)"" .  It's like, buck up buckaroo. Don't let your emotions cloud your judgement and try to be objective. Anywho, good game and worth playing but slightly overrated IMO.,,8/10";normal;English;8
Beastside;Probably the single most overrated game of all time. First of all, linear games have got to be a thing of the past. They are simply so much worse than open-world games, for a variety of reasons. The art style is incredibly boring: you only see about two different colours in the entire game. The level design is laughably bad: alot of the time you can see that something is going to happen just by looking at how different dumpsters and barriers and so forth is set up. In that sense it reminded me of Gears of War or Doom, which are some of the most boring, repititive, mind-numbing games out there. The story is what makes this game special, but that's not sufficient to carry the whole game.;normal;English;7
Slatz;Best game on PS3/PS4. If you have a chance to play this game then do it!!!!;normal;English;10
Oktavian;Amazing games, the story is really good really give the feeling and emotional between Ellie and Joel, the graphics is okay.;expanded;English;10
Zenden;It's great to finish this adventure again on ps4 before part II! Great story, graphics, music. Excellent remaster!;expanded;English;10
LukasJaworski;"In a post-apocalyptic world where moral philosophy and survival confront each other. Joel, our protagonist, embarks on a mission, along with Ellie, to save humanity from a deadly disease. A journey with incredible character development, moments of action and reflection, along with intense gameplay where you must take care of your inventory and plan strategies, because every bullet counts. A story that changes the formula to a more ""human"" perspective where the decisions we make, what we are capable of leaving behind and changing our ideals enter into an eternal conflict that forms the main thing in this great video game.";normal;English;10
ATTin;Story: 10, Gameplay: 10, Graphics: 10. Everything about this game were so damn perfect, the combat, the graphics, and of course, the story, it's so good that it make me actually care about fictional character Easily one of the best video game i have ever played;expanded;English;10
Aminooosh0X0X;the game is amazing. 10/10 I will the world of the last of us. you get more invited in the world the more you play;expanded;English;10
FabricioNery;The grafic are goog, but the gameplay is limited and there are not choices in the game, that is, just follow the story without influencing anything;expanded;English;1
JustStupido;In my opinion this is a masterpiece!!! I will never forget this adventure!,Everyone must go through this;expanded;English;10
storygamer;The Last Of Us is one of the most impressive game I`ve ever played and the Remastered version does everything right. While the graphics are slightly improved, it includes the great but short DLC Left Behind and even better controls than the original. What makes this game that great is the intensive and emotional story and the well written characters. It does its job better than most of Hollywood blockbuster movies. An experience in every aspect! Naughty Dog, I salute you.;normal;English;10
starmann27_;This game is a real masterpiece. The story, the gameplay, the atmosphere are all amazing, especially considering that the game was originally created for PlayStation 3.;expanded;English;10
vvanasperen;Just finished it for e second time. This is simply a brilliant game! You get invested in the characters and when the game ends you are left with an emptiness that only great games can cause.;expanded;English;10
Ato_zocker;Best game I have ever played.I love this game because the story and gameplay is pretty good.;expanded;English;10
sonersupertramp;what can i say. story-telling, relation between joel&ellie, facial animations... when you finished this game you will experience complex emotions.;expanded;English;10
katte82;engaging, at times heartbreaking story.,it takes you emotionally.,masterpiece;expanded;English;8
MetaRogue;"I'm not one for remasters, especially after playing the original, but the inclusion of the Left Behind DLC and the impending arrival of The Last of Us Part 2 made me say ""One more time"". Even with the graphical improvements of the PS4 version, The Last of Us' graphics still hold up pretty well considering this was originally a PS3 game. A testament and a good excuse to revisit a modern day classic.";normal;English;10
Coochielover;Story was incredible, I even shed a tear or two in the end. The storytelling has action, love, hate, sadness, and conveys all the emotions convincingly. The gameplay portion is outdated but that’s to be expected playing a 2013/14 game in 2020. Graphics surprisingly keep up while not to TLOU2, it is totally acceptable. I thought it would be an easy game to beat but it is challenging if you dare to play on harder difficulty.;normal;English;9
pricheta;I've bought ps4 a few weeks ago. Fortunatelly my friend has this game on his account and he let me play this masterpiece. I've been living about 7 years without a clue what this game really is. Thanks Naughty dog. I am going to buy this game for my account next time my salary arrives. Going to buy tlou2 eather.;expanded;English;10
mobiGamer;Great storytelling, despite the fact that story is not something amazing. Enjoyable gameplay, great prologue, awesome characters.;expanded;English;8
Xabos211;One of the best PS3 games ported with enhanced graphics to PS4. Outstanding atmosphere and performance!;expanded;English;10
tranks_batata;the best story and the best gameplay in one game,i love joel and ellie and all the character;expanded;English;10
XLazer;Overall - 9.5,,Really great story with equally managed game play. It has some bugs though.,,Enjoyment - 9;expanded;English;9
Doepper;Absolutely amazing!,Great Story!,And with Update 1.11 the loading times are very very short!;expanded;English;10
Mahdimt;Never better!it's not just a game,it's nice movie that you control its characters;expanded;English;10
DrZoidberg1995;Absolutely incredible. The story in this game was very emotional at times with so many twists and turns & it’s honestly one of the best games I’ve ever played. The voice acting, characters, story & graphics all come together to make something truly great. It’s nice to see Naughty Dog still putting so much time & effort into single player games when most of them have now moved on to live service games etc. I really couldn’t give this anything less than a 10 & would advise anyone to give this a try if they haven’t already.;normal;English;10
TheBatmanBeynd;Amazing game. Very well done and worth the hype. Narrative and gameplay mechanics were superb.;expanded;English;9
Sneidertomnope;"It's a meh game with a meh story and all the cinematics in the world bruhh and my friends made me play it to have ""fun""";expanded;English;5
ras1234;The best story, the best characters. Simply put, the greatest linear narrative game ever.;expanded;English;10
UnityHomes;The Last of Us is the best game I have ever played. It is revolutionary to the gaming industry when it comes to single player narrative driven games. An absolute MASTERPIECE!;expanded;English;10
strangebrew123;Phenomenal game, such depth!  Superb gameplay (i played normal and difficult).  Excellent storyline, great acting...totally engaging. Considering its age, what an achievement.;expanded;English;10
Cool_cowboy;Best game ever made, love the guns, they feel great and look great, the story is a 10/10;expanded;English;10
ChristianShow;Strong characters, emotional story,  decent gameplay, and manages to keep me engaged The Last of Us is a game that other people will love cherish and celebrate for years to come. Just pretend like The Last of Us Part II didn't happen.;expanded;English;9
OpmanScola;The greatest story and writing of all time. Unbelievable gripping story between two of the greatest characters of all time. This is the greatest game of all time, wonderful job from Naughty Dog;expanded;English;10
parsakir;best game ever made if you wanna experience deep emotional story try this game;expanded;English;10
LWYRUP;One of the best games I’ve ever played. Do yourself a favor and don’t play the sequel. Let the story end where it ends at the end of this game.;expanded;English;10
NiKCritic;Oscar's script, the best animation, an incredible gameplay, the whole game is good, don't hesitate for a second to buy it.;expanded;English;10
Kilabam;Dope game. Cut scenes are  a little long in the tooth.  Takes for ever to get going. But graohics gameplay story really good.;expanded;English;8
vanityfry;Amazing story telling with fun gameplay that doesn’t get boring, one of the greatest games of the decade.;expanded;English;10
Mohamad4alinzad;What do u think abut a game?,i m sure its more than of ur imagine.dont lose u r life without this;expanded;English;10
Evileyed;This is a good game i have to admit but it is nowhere near as good as it's hyped up to be. Without spoiling anything for those that haven't played. The story line is good and well worth a play through, multiplayer mode can be fun but it's never going to keep you coming back for more than a few days. Overall it's worth a look in.;expanded;English;8
Venzeles;Perhaps this is the most overrated game in the history.I clearly can’t understand why people love this game THIS much.I mean,it’s not a bad game,it has some cool feachures like the elaboration of details and winter act.But man,when you see rate like THIS you expect something more from the game then just a father-daughter relationship with a plot that leads to nothing.I guess it’s just how I feel.;normal;English;6
Ador1302;That can be game I seen ever in my life. I advice this game. All soo Last of us part 2. Play this game it is soo good.;expanded;English;10
SolarPanel;One of the best stories told in any video game ever. Gameplay is ok but the main focus of the game is the story which it delivers perfectly.;expanded;English;10
Djpoling214;The best Playstation game ever made? Probably. It's hard to imagine a game that is better then this. The story, the combat, the characters. I was sad when I beat this game because I wanted more.;expanded;English;10
Ibrahim679;Amazing game Good gameplay Legendary story,Wonderful director,Everything in this game awesome;normal;English;10
makkusu1;There's a good remaster for a good game from PS3 times in 2013. Good Story, Not bad, but casual gameplay! I recommend you to buy it!);expanded;English;10
upinyocribdawg6;I really don't like this game. They just put too much focus on the story, now keep in mind, it's a fantastic story but they put that too far ahead of the gameplay. I can see how people would like this game but It's just not for me. For my money God of War is a much better game.;expanded;English;6
xeqt3r;This game is a solid 10. The story, the characters and the gameplay. Everything is very good. I didn't played it on PS3 but the remasterd looks pretty good. Can't wait to play Part 2!;expanded;English;10
TodiSauce;Simply incredible and entertaining. There is no words to describe this masterpiece.;expanded;English;10
Jumppakuikelo;Most definitely the best video game I’ve ever played. Amazing touching story.;expanded;English;10
ALI_Luay;Oh my god    the words cant discreib the experince that you will have  in this game;expanded;English;10
MUTASEM_1212;It’s one of the best games ever! I played it again in PS5 after I played it in Ps3.. just amazing.. the gameplay is fantastic.,When you play it in PS5 don’t choose 60 frame, choose the best resolution.  Again the game is masterpiece!,Of course must play!;expanded;English;10
Feroz2035;I’m late but this game hits hard in the feels, also part 2 is better then 1 just my opinion;expanded;English;10
Bilalnc5;The story was great. I loved the environment and really loved the stealth. The connection between Elie and Joel was great.;expanded;English;10
Willyboyou;The Last of Us takes a simple premise and delivers the greatest, most influential narrative ever told in video games, and quite possibly of all time.;expanded;English;10
Almashad;Great game with great atmosphere and story gagsgdggegsgshdhdhdhdhdgdvdvvdvdvdvdvd;expanded;English;10
DzmitryBoston;The story is one of the best in the history of gaming. The gameplay is terrific. The only annoying thing is when the enemy who has a gun doesn't drop any loot. If the developers wanted to make every bullet count, at least they could make all the NPC drop one bullet or empty gun.;expanded;English;9
Attnea;I can't explain the impact this game has had on me. More than any book or movie I've ever seen. I could talk for hours about the beautiful graphics, fun gameplay and KILLER character development. The story, even though it has its flaws, is amazing, my favorite in a vg. Sometimes you see someone you know in a vg character, but occassionally, you feel like you know the character, it has its own identity. I dare to say that I love Joel as a father, and Ellie as a sister or a friend. I'll keep them in my heart today and forever.;normal;English;10
Elite_Soldier;The campaigns very good but what takes this game to the next tier is the multiplayer.;expanded;English;9
adam_carl;I understand now why the LAST OF US is the GAME OF GENERATION and more than 200 award winner game,the best adventure in my life was this game I simply just RECOMMEND!;expanded;English;10
MulQuahDiiv;Definitely one of the best games ever made. It has everything you expect from a game: touching story line, great atmosphere, memorable characters. Unforgettable experience that really needed a sequel. Highly recommend;expanded;English;10
KaleSungurCrane;OVERALL - 96%,,Gameplay - 9/10,Graphics (for time) - 9/10,Story - 9/10,Game Length - 7/10,Characters - 9/10,Level/Area Design - 8/10,Atmosphere - 10/10,Sound Effects - 8/10,Soundtrack - 7/10,Replay Value - 8/10,,One of the most realistic depictions in game, TV or cinema of what a post apocalyptic world could look like. One of the most impressive linear games I have played with a great story and characters.;normal;English;10
Josh45;The greatest game ever made.The characters, graphics, story, gameplay, everything about it was absolutely phenomenal.;expanded;English;10
Smurslik;I like this game because it has good music and story but l didn't like Ellie.;expanded;English;8
MalRom87;Awesome game. Experience to tears. If I had a superpower - erased my memory and  go through it again;expanded;English;10
